,Emotion,EmoMod
465,sensitivity,sensitivity
466,serious,serious
467,shaky,shaky
357,mild shock,shocked
464,schock,shocked
468,shock,shocked
469,shocked,shocked
470,shook,shook
471,short,short
472,sick,sick
473,sickness,sick
474,silence,silent
475,silenced,silent
476,silent,silent
477,silly,silly
478,skeptical,skeptical
479,skepticism,skeptical
480,skip,skip
481,sleepy,sleepy
484,slow,slow
485,slowed,slow
486,sly,sly
487,small,small
488,smallness,small
489,smiley,smiley
490,sober,sober
491,solemn,solemn
492,somber,somber
494,sorry,sorry
495,spent from anxiety,spent
496,spook,spooked
497,spooked,spooked
498,spooked!,spooked
499,spooky,spooked
500,starled,startled
501,startled,startled
502,startling,startled
508,strartled,startled
503,still,stillness
358,mild stomach churning,stomach churning
505,stomach turning,stomach churning
506,strange,strange
507,strangeness,strange
509,stress,stressed
510,stressed,stressed
511,stressful,stressed
512,stuck,stuck
513,stunned,stunned
514,sudden,sudden
515,suprise,surprised
516,suprise he addressed me directly,surprised
517,suprise it actually turned on,surprised
518,suprised,surprised
519,surprise,surprised
520,surprised,surprised
521,surprising,surprised
522,surreal,surreal
523,suspense,suspense
524,suspenseful,suspense
525,suspension,suspense
526,suspicion,suspicion
527,suspicious,suspicion
528,taken aback,taken aback
529,tense,tense
530,tension,tense
531,terrible,terrible
532,terrified,terrified
533,terror,terrified
534,that feeling of an acid trip,that feeling of an acid trip
535,threatened,threatened
536,thrill,thrilled
537,thrilling,thrilled
538,tight muscles and body language,tight muscles and body language
539,timid,timid
540,tired,tired
542,tranquil,tranquil
543,trapped,trapped
43,"appreciative of the gore, but also mildly traumatizing",traumatic
544,trepidation,trepidation
545,trepidatious,trepidation
546,triggered,triggered
3,"""trippy""",trippy
547,trippy,trippy
548,unaffected,unaffected
549,unamused,unamused
550,unaware,unaware
551,unbalance,unbalanced
552,unbalanced,unbalanced
553,uncertain,uncertain
554,uncertainty,uncertain
555,unclean,unclean
556,uncomfertable,uncomfortable
557,uncomfortable,uncomfortable
558,uncomfortable when they were in my face,uncomfortable
559,understanding,understanding
560,underwhelmed,underwhelmed
561,unease,uneasiness
562,uneasiness,uneasiness
564,uness,uneasiness
565,unesse,uneasiness
139,dis-ease,uneasy
563,uneasy,uneasy
566,unexpected,unexpected
567,unfamiliar,unfamiliar
568,unfocused,unfocused
569,unhappiness,unhappy
570,unhappy,unhappy
571,unimpressed,unimpressed
572,uninterested,uninterested
573,unpleasant,unpleasant
574,unpleasantness,unpleasant
575,unprepared,unprepared
576,unsafe,unsafe
577,unsettled,unsettled
578,unsettling,unsettled
579,unstable,unstable
580,unsteadiness,unsteady
581,unsteady,unsteady
582,unsure,unsure
583,unsureness,unsure
584,upset,upset
589,urgency,urgency
591,vulnerable,vulnerable
592,waiting,waiting
593,wanted,wanted
599,warm,warm
598,wariness,wary
600,warry,wary
601,wary,wary
602,watchful,watchful
603,weak,weak
604,weariness,weary
605,weary,weary
606,weepy,weepy
607,weird,weird
608,weirded out,weirded out
609,wonder,wonder
610,wonderful,wonder
611,woozy,woozy
483,slightly worried,worried
612,worried,worried
613,worry,worried
