PID,Videos,stimset,Arousal,Valence,Coherence,Familiarity,,
hc0021,ISD6804,0,22,54,8,0,,
hc0022,ISD6804,0,39,37,58,1,,
hc0023,ISD6804,0,0,50,27,0,,
hc0024,ISD6804,0,23,88,21,0,,
hc0025,ISD6804,0,12,52,2,1,,
hc0026,ISD6804,0,1,50,1,1,,
hc0027,ISD6804,0,10,50,37,0,,
hc0028,ISD6804,0,7,50,39,0,,
hc0029,ISD6804,0,0,50,20,0,,
hc0030,ISD6804,0,5,50,10,0,,
hc0021,FGV3524,1,45,47,48,0,,
hc0022,FGV3524,1,62,63,65,1,,
hc0023,FGV3524,1,100,16,0,0,,
hc0024,FGV3524,1,95,89,41,0,,
hc0025,FGV3524,1,57,49,1,1,,
hc0026,FGV3524,1,60,30,70,1,,
hc0027,FGV3524,1,24,42,67,0,,
hc0028,FGV3524,1,52,38,53,0,,
hc0029,FGV3524,1,100,20,70,0,,
hc0030,FGV3524,1,55,20,70,0,,
hc0021,ARF0333,0,4,50,3,0,,
hc0022,ARF0333,0,35,35,65,1,,
hc0023,ARF0333,0,29,50,0,0,,
hc0024,ARF0333,0,4,33,70,0,,
hc0025,ARF0333,0,1,35,88,1,,
hc0026,ARF0333,0,1,50,60,1,,
hc0027,ARF0333,0,12,45,49,0,,
hc0028,ARF0333,0,5,50,16,0,,
hc0029,ARF0333,0,10,50,100,0,,
hc0030,ARF0333,0,5,70,5,0,,
hc0021,BUW6220,0,8,50,65,0,,
hc0022,BUW6220,0,26,25,56,1,,
hc0023,BUW6220,0,6,50,41,0,,
hc0024,BUW6220,0,6,18,43,0,,
hc0025,BUW6220,0,1,30,65,1,,
hc0026,BUW6220,0,1,50,1,1,,
hc0027,BUW6220,0,4,50,62,0,,
hc0028,BUW6220,0,0,58,17,0,,
hc0029,BUW6220,0,15,40,20,0,,
hc0030,BUW6220,0,2,50,40,0,,
hc0021,GEP2605,1,88,29,84,0,,
hc0022,GEP2605,1,71,67,61,1,,
hc0023,GEP2605,1,100,0,0,0,,
hc0024,GEP2605,1,73,64,43,0,,
hc0025,GEP2605,1,41,51,2,1,,
hc0026,GEP2605,1,65,40,1,1,,
hc0027,GEP2605,1,69,51,32,0,,
hc0028,GEP2605,1,67,10,60,0,,
hc0029,GEP2605,1,75,25,40,0,,
hc0030,GEP2605,1,30,25,20,0,,
hc0021,EMB3650,0,10,43,29,0,,
hc0022,EMB3650,0,47,48,62,1,,
hc0023,EMB3650,0,37,50,0,0,,
hc0024,EMB3650,0,20,78,28,0,,
hc0025,EMB3650,0,2,49,1,1,,
hc0026,EMB3650,0,50,35,1,1,,
hc0027,EMB3650,0,13,42,17,0,,
hc0028,EMB3650,0,10,50,48,0,,
hc0029,EMB3650,0,40,40,0,0,,
hc0030,EMB3650,0,70,30,5,0,,
hc0031,CNL7699,0,12,47,35,0,,
hc0032,CNL7699,0,8,50,84,1,,
hc0033,CNL7699,0,22,50,50,1,,
hc0034,CNL7699,0,25,55,10,0,,
hc0035,CNL7699,0,81,65,75,0,,
hc0036,CNL7699,0,24,30,78,1,,
hc0037,CNL7699,0,57,35,65,0,,
hc0038,CNL7699,0,40,65,20,0,,
hc0039,CNL7699,0,4,47,0,0,,
hc0040,CNL7699,0,25,50,20,0,,
hc0031,DEI3581,1,85,6,93,0,,
hc0032,DEI3581,1,41,5,90,2,,
hc0033,DEI3581,1,89,7,1,2,,
hc0034,DEI3581,1,90,25,35,25,,
hc0035,DEI3581,1,100,0,62,0,,
hc0036,DEI3581,1,91,4,61,1,,
hc0037,DEI3581,1,8,2,32,0,,
hc0038,DEI3581,1,61,30,40,0,,
hc0039,DEI3581,1,0,50,0,0,,
hc0040,DEI3581,1,0,20,80,0,,
hc0031,JIY2396,0,21,41,71,0,,
hc0032,JIY2396,0,12,51,74,3,,
hc0033,JIY2396,0,5,9,95,4,,
hc0034,JIY2396,0,5,50,65,0,,
hc0035,JIY2396,0,57,50,15,100,,
hc0036,JIY2396,0,27,43,35,1,,
hc0037,JIY2396,0,61,73,60,59,,
hc0038,JIY2396,0,15,70,20,0,,
hc0039,JIY2396,0,0,50,0,0,,
hc0040,JIY2396,0,10,40,10,0,,
hc0031,HIU9145,0,10,50,80,0,,
hc0032,HIU9145,0,14,51,71,1,,
hc0033,HIU9145,0,7,7,49,7,,
hc0034,HIU9145,0,10,50,75,0,,
hc0035,HIU9145,0,50,70,66,0,,
hc0036,HIU9145,0,3,74,89,1,,
hc0037,HIU9145,0,33,55,54,0,,
hc0038,HIU9145,0,10,50,60,0,,
hc0039,HIU9145,0,0,50,0,0,,
hc0040,HIU9145,0,0,45,45,0,,
hc0031,ISD7552,1,91,10,93,0,,
hc0032,ISD7552,1,83,18,58,1,,
hc0033,ISD7552,1,100,5,90,6,,
hc0034,ISD7552,1,100,0,90,60,,
hc0035,ISD7552,1,100,1,100,0,,
hc0036,ISD7552,1,65,1,100,1,,
hc0037,ISD7552,1,18,4,30,0,,
hc0038,ISD7552,1,75,10,85,0,,
hc0039,ISD7552,1,2,49,1,0,,
hc0040,ISD7552,1,0,0,100,0,,
hc0031,FGV5023,0,16,50,27,0,,
hc0032,FGV5023,0,27,32,67,2,,
hc0033,FGV5023,0,5,47,88,7,,
hc0034,FGV5023,0,65,45,25,25,,
hc0035,FGV5023,0,31,70,10,0,,
hc0036,FGV5023,0,6,43,95,1,,
hc0037,FGV5023,0,17,33,66,0,,
hc0038,FGV5023,0,15,45,20,0,,
hc0039,FGV5023,0,0,50,0,0,,
hc0040,FGV5023,0,0,30,20,0,,
hc0031,ARF1665,1,100,16,67,0,,
hc0032,ARF1665,1,71,30,36,1,,
hc0033,ARF1665,1,100,19,50,10,,
hc0034,ARF1665,1,100,0,65,0,,
hc0035,ARF1665,1,100,10,0,100,,
hc0036,ARF1665,1,90,1,27,1,,
hc0037,ARF1665,1,0,60,46,0,,
hc0038,ARF1665,1,80,10,75,0,,
hc0039,ARF1665,1,3,48,0,0,,
hc0040,ARF1665,1,0,0,80,5,,
